utility,niter,time
8847.451420011477,62,0.0029473304748535156
7672.6838345114365,91,0.004293680191040039
8819.404198470838,83,0.003948688507080078
7894.418888289945,63,0.0030133724212646484
7960.673288687616,46,0.002175569534301758
8968.282952656878,72,0.003360271453857422
7751.849202205105,55,0.0025644302368164062
8984.96499049738,72,0.003644704818725586
8324.958217398456,53,0.003670930862426758
8203.573163297968,74,0.007458209991455078
8537.264441177453,52,0.00528407096862793
9496.813700020894,85,0.005600690841674805
9575.617221026634,79,0.003907918930053711
8486.662568253938,72,0.0035593509674072266
8826.969450335047,74,0.004027605056762695
8265.770163591631,69,0.0035552978515625
8111.898466850519,62,0.0031845569610595703
9736.493356884885,73,0.0037555694580078125
9248.72630721689,92,0.004662752151489258
8113.848598344458,39,0.0019822120666503906
9331.78022176688,61,0.0032825469970703125
8150.921448602176,64,0.0032167434692382812
8458.046651625395,67,0.0033845901489257812
9207.225671515647,67,0.003391265869140625
7921.694666936597,62,0.0031633377075195312
8428.816717031814,68,0.0034189224243164062
8303.769096462509,68,0.0034346580505371094
9182.415207222411,76,0.003945112228393555
7952.453302842747,58,0.0029938220977783203
8702.5253285275,88,0.0044896602630615234
8077.83096359525,76,0.0037026405334472656
9113.869521941904,67,0.003309965133666992
7197.43626058333,51,0.002439737319946289
8984.895773869297,82,0.004217624664306641
8286.268172136479,71,0.006226301193237305
8677.617554407563,52,0.005421876907348633
7788.917502203948,60,0.007406473159790039
9201.27189208103,71,0.006861209869384766
8868.133797723873,75,0.027083158493041992
9161.32587853936,77,0.0262758731842041
8855.675781189391,73,0.008876323699951172
8481.421554225235,58,0.0049288272857666016
9335.449984471012,82,0.005649089813232422
9044.972340789041,78,0.004663228988647461
9172.299987356333,82,0.004355669021606445
8802.820929806137,67,0.003225564956665039
8789.456461235324,93,0.004401683807373047
8018.453935176327,83,0.003867626190185547
8518.13555909524,67,0.003176450729370117
9223.37898503464,73,0.0034999847412109375
8734.195645607317,74,0.0035295486450195312
8787.370304008393,69,0.0032579898834228516
8791.083738802492,97,0.0045318603515625
8513.639662913509,44,0.002062082290649414
8121.353258607468,53,0.0024378299713134766
9253.090116107809,81,0.0037713050842285156
8246.0080113753,73,0.003394603729248047
8419.174451557014,72,0.0034263134002685547
7928.381660982575,83,0.00388336181640625
7795.628642449077,40,0.0020551681518554688
8685.150346239312,79,0.0046308040618896484
8500.4271416074,84,0.008260726928710938
8862.899476909666,86,0.008554458618164062
8899.648856174274,94,0.005379676818847656
8492.491762853075,79,0.004149675369262695
8992.964946241762,68,0.0036258697509765625
8871.951420655587,84,0.004428386688232422
8820.705671287687,65,0.0033991336822509766
8526.781680279106,64,0.0033855438232421875
8899.303079989624,81,0.00423884391784668
9008.151660609772,69,0.0035445690155029297
8838.213344306414,79,0.004263877868652344
9024.186483488324,58,0.003032207489013672
8555.544666572614,95,0.004820585250854492
8554.23909009587,87,0.004419565200805664
8823.763557615071,68,0.0034291744232177734
9143.023023403475,103,0.005307912826538086
8150.196368550258,83,0.004174232482910156
7658.046076374541,70,0.003502368927001953
7958.159686035153,63,0.0031812191009521484
7854.101322383248,58,0.0029115676879882812
7530.186933302022,60,0.002942323684692383
8650.156354000304,75,0.0036830902099609375
8158.547795487242,57,0.0029511451721191406
8488.453640326687,90,0.006922006607055664
8504.018049654162,52,0.005864620208740234
8704.193602688094,89,0.010598421096801758
8720.7601328239,89,0.0059871673583984375
8736.576870197481,85,0.03570127487182617
8024.380803682117,62,0.012940168380737305
