,utility,niter,time
52,32240.779596808185,147,0.39126038551330566
53,28844.21804961081,140,0.35190320014953613
54,30513.12113764869,149,0.37190747261047363
55,29030.592362112147,154,0.3983428478240967
56,30295.028963642344,164,0.42262816429138184
57,31442.49360616886,166,0.42194294929504395
58,27858.705843662498,119,0.3098468780517578
59,28448.23974507844,132,0.34218788146972656
60,30740.96744289744,178,0.47078919410705566
61,30851.960300390798,141,0.377316951751709
62,31110.266180886698,160,0.4156017303466797
63,29023.825992950216,142,0.36683058738708496
64,30476.610631196894,155,0.40001726150512695
65,30214.248732860895,140,0.35278844833374023
66,33098.68517959726,142,0.3754751682281494
67,30692.61832556461,163,0.4231879711151123
68,30568.338914476662,139,0.3683934211730957
69,33370.266238737175,173,0.45099973678588867
70,29026.383451551206,136,0.3577251434326172
71,27608.90624357098,126,0.32816457748413086
72,29785.06980755261,152,0.4032626152038574
73,30067.659020167805,161,0.42041778564453125
74,29512.454143879637,107,0.27237892150878906
75,30341.494152924402,159,0.40289855003356934
76,31407.412990604163,184,0.4798424243927002
77,31015.899602030193,171,0.4548940658569336
78,32731.078053226287,143,0.3822939395904541
79,30290.44377644673,159,0.41785478591918945
80,30784.794310338082,167,0.4380176067352295
81,31307.56123775492,155,0.40244626998901367
82,29595.10242181809,145,0.3796043395996094
83,31381.46597643434,143,0.3785855770111084
84,30555.34573009243,133,0.3478279113769531
85,32015.607375660256,183,0.48069095611572266
86,30333.59389714344,149,0.388124942779541
87,30961.903182747374,141,0.36011838912963867
88,31483.975121242485,154,0.4046182632446289
89,29327.005734197854,152,0.41347169876098633
90,30610.841776966292,169,0.4470658302307129
91,31492.33286148507,170,0.44135165214538574
92,29006.77281878422,128,0.3348069190979004
93,29706.82039753449,156,0.4113953113555908
94,27863.455253951026,135,0.35471057891845703
95,33901.63956482167,189,0.4983220100402832
96,29312.12494934933,167,0.4349782466888428
97,31314.195261063644,155,0.39083194732666016
98,28319.566754199775,140,0.35318708419799805
99,33445.06293885015,190,0.48572635650634766
100,31870.012066912393,162,0.41510438919067383
101,31499.002805322118,115,0.29770398139953613
102,31858.878385995813,194,0.5100724697113037
103,29157.554745057838,159,0.41800832748413086
104,30039.818979902328,137,0.3632955551147461
105,31485.627422570033,184,0.4836695194244385
106,32152.134304733074,142,0.37524914741516113
107,30642.21644273263,150,0.401719331741333
108,31014.789848981967,169,0.4470524787902832
109,28960.309500213592,155,0.39777255058288574
110,30063.90361481052,146,0.36629366874694824
111,29364.25284478016,178,0.4696056842803955
112,30269.928033597855,161,0.4259297847747803
113,28962.36368996909,139,0.37544965744018555
114,30114.233725904785,151,0.3953890800476074
115,29894.127155453258,132,0.3509385585784912
116,30450.755262316976,144,0.37754249572753906
117,29395.83097520221,174,0.43732309341430664
118,30755.994609462523,158,0.40628504753112793
119,31240.287297973216,154,0.40500926971435547
120,31385.746366780822,155,0.4110393524169922
121,29482.292918422623,129,0.3385801315307617
122,32071.774059875315,149,0.382326602935791
123,31405.871539530894,143,0.3707873821258545
124,31410.54272873017,154,0.4021623134613037
125,31824.5336625612,140,0.3635389804840088
126,31113.134469152625,178,0.4633753299713135
127,32994.11619175029,184,0.47681307792663574
128,31858.65765414041,159,0.40573906898498535
129,28642.082045795225,140,0.37028956413269043
130,30921.00622263789,147,0.3900454044342041
131,29960.663460914533,154,0.39556193351745605
132,29791.44295638663,138,0.3530559539794922
133,32493.25076053086,162,0.41791367530822754
134,31110.88312512732,153,0.4046356678009033
135,30960.6869084559,170,0.4493827819824219
136,28586.84225573274,139,0.35902953147888184
137,30724.62363150302,175,0.45111894607543945
138,29826.118048187207,153,0.4056975841522217
139,31024.1503933419,160,0.43358755111694336
140,30235.239547510748,145,0.3855712413787842
141,29119.751839275104,123,0.3259241580963135
142,31277.561435052397,163,0.4338037967681885
143,29384.010225927945,152,0.401721715927124
144,30780.33723092473,204,0.5422699451446533
145,30140.179605999398,140,0.3749275207519531
146,31056.658956358056,150,0.39859628677368164
147,30191.931707445663,168,0.43123364448547363
148,30975.395905548827,119,0.31102442741394043
149,30685.695863761895,175,0.4630758762359619
150,29824.911816018488,121,0.32028627395629883
151,32035.1993995035,175,0.4749124050140381
152,30090.730435134323,168,0.4437282085418701
153,30193.170835390512,185,0.48645544052124023
154,31625.436379977695,160,0.40312671661376953
155,31058.559110893602,163,0.4306004047393799
156,31739.04978663078,169,0.4477102756500244
157,29249.214013466422,115,0.307666540145874
158,34954.505602857476,205,0.5438528060913086
159,30216.868384244626,156,0.4103202819824219
160,29738.884929154112,139,0.3535747528076172
161,29872.186561001537,164,0.42084217071533203
162,28825.310087540318,153,0.40499281883239746
163,30947.5895043616,146,0.39298534393310547
164,31225.394931201794,120,0.3154110908508301
165,27653.06761635837,134,0.3560504913330078
166,30664.769958687702,116,0.2991902828216553
167,31528.45549484323,147,0.3857457637786865
168,29979.120166976947,172,0.4590413570404053
169,28852.01715583914,155,0.3993840217590332
170,32660.03087724685,184,0.4825608730316162
171,31582.36510787806,150,0.3868708610534668
172,31949.97198007778,160,0.40976738929748535
